Year,Pos,Name,Club,Time,Cat
1997,1,Graeme Bartlett,Forres Harriers,2:41:48,M
1997,2,Andrew Davies,Borrowdale Fell Runners,2:43:13,M
1997,3,Steve Birkinshaw,Northumberland Fell Runners,2:49:15,M
1997,4,John Coyle,Carnethy HRC,2:53:50,M
1997,5,John Wilkinson,Shettleston Harriers,2:54:32,M
1997,6,Malcolm Patterson,Shettleston Harriers,2:54:45,M
1997,7,Andy Lewsley,Keswick Athletic Club,2:54:56,MV
1997,8,Jim Davies,Carnethy HRC,2:55:30,M
1997,9,Euan MacKay,Ocril Hill Runners,2:55:38,M
1997,10,Craig Love,Dundee Hawkhill Harriers,2:59:18,M
1997,11,Ronnie Gallagher,Westerlands Cross Country Club,2:59:25,M
1997,12,Lee Thomson,Clayton Le-moors Harriers,2:59:29,M
1997,13,Martin Laing,Fife Athletic Club,3:00:04,MV
1997,14,Colin Eades,Livingston and District Athletic Club,3:00:50,M
1997,15,Daniel Marston,Clydeside Orienteers,3:02:11,M
1997,16,Jack Holt,Clayton Le-moors Harriers,3:02:22,MV
1997,17,Anesti Daventhill,Shettleston Harriers,3:03:12,M
1997,18,David Hirst,Deeside Runners,3:03:33,M
1997,19,Neil Raitt,Dundee Hawkhill Harriers,3:04:04,M
1997,20,Robbie Cant,Lochaber,3:04:57,M
1997,21,David Duncan,Ochil Hill Runners,3:05:15,MV
1997,22,Dave Cummins,Shettleston Harriers,3:05:42,M
1997,23,Des Crowe,Seettleston Harriers,3:05:49,M
1997,24,Stephen Rivers,Cosmic Hill Bashers,3:05:53,M
1997,25,John Blairfish,Carnethy HRC,3:06:28,MV
1997,26,Angela Mudge,Carnethy HRC,3:06:47,F
1997,27,Nigel Wright,Jesus Orienteering Club,3:07:32,M
1997,28,Yvette Hague,Pudsey and Bramley Athletic Club,3:08:00,F
1997,29,Brian Waldie,Carnethy HRC,3:08:44,MS
1997,30,John Donnely,Shettleston Harriers,3:09:21,M
1997,31,Mark Johnston,Carnetey Hr,3:10:10,M
1997,32,Stewart Whitlie,Standard Life Athletic Club,3:10:50,M
1997,34,Gavin Stewart,Carnetby Fir,3:11:09,M
1997,36,Timothy Nash,Cosmic Eillbasflers,3:11:47,M
